titulo,url,dia,mes,ano
Batalha de Rap Macapá terá duelos de rima e venda de comidas típicas no Mercado Central,https://g1.globo.com/ap/amapa/noticia/2023/05/05/batalha-de-rap-macapa-tera-duelos-de-rima-e-venda-de-comidas-tipicas-no-mercado-central.ghtml,5,5,2023
‘Maio Amarelo’ tem ações em escolas e ruas para prevenir acidentes no trânsito no AP,https://g1.globo.com/ap/amapa/noticia/2023/05/03/maio-amarelo-tem-acoes-em-escolas-e-passeio-ciclistico-para-alertar-pedestres-e-motoristas-no-ap.ghtml,3,5,2023
Crianças autistas participam de sessão de terapia com cães do Bope em Macapá,https://g1.globo.com/ap/amapa/noticia/2023/04/28/criancas-autistas-participam-de-sessao-de-cinoterapia-com-caes-do-bope-em-macapa.ghtml,28,4,2023
Acusado do assassinato de duas crianças em Viçosa do Ceará é condenado a 50 anos de prisão,https://g1.globo.com/ce/ceara/noticia/2021/10/20/homem-e-condenado-a-50-anos-de-prisao-por-assassinato-de-duas-criancas-em-vicosa-do-ceara.ghtml,20,10,2021
Justiça determina o afastamento de Sydnei Pereira da Prefeitura de Anajatuba,https://g1.globo.com/ma/maranhao/noticia/2020/12/04/justica-determina-o-afastamento-de-sydnei-pereira-da-prefeitura-de-anajatuba-no-maranhao.ghtml,4,12,2020
Grupo empresarial deve pagar quase R$ 21 milhões por desvio de recursos da Cidade das Águas em Frutal,https://g1.globo.com/mg/triangulo-mineiro/noticia/2020/02/14/grupo-empresarial-deve-pagar-quase-r-21-milhoes-por-desvio-de-recursos-da-cidade-das-aguas-em-frutal.ghtml,14,2,2020
"Carlinhos Maia apresenta show de humor 'Mas, Carlos!' pela primeira vez no AP",https://g1.globo.com/ap/amapa/noticia/2018/08/18/carlinhos-maia-apresenta-show-de-humor-mas-carlos-pela-primeira-vez-no-ap.ghtml,18,8,2018
Michele Maycoth interpreta sucessos de Maria Gadú em noite romântica no AP,https://g1.globo.com/ap/amapa/noticia/2018/08/17/michele-maycoth-interpreta-sucessos-de-maria-gadu-em-noite-romantica-no-ap.ghtml,17,8,2018
Show de humor em Macapá leva histórias de ribeirinhos da Amazônia para o teatro,https://g1.globo.com/ap/amapa/noticia/2018/07/29/show-de-humor-em-macapa-leva-historias-de-ribeirinhos-da-amazonia-para-o-teatro.ghtml,29,7,2018
"Sem dinheiro, venezuelanos acampam às margens de rodovia na fronteira do Brasil: 'aqui pelo menos temos comida'",https://g1.globo.com/rr/roraima/noticia/2018/07/26/sem-dinheiro-venezuelanos-acampam-as-margens-de-rodovia-na-fronteira-do-brasil-aqui-pelo-menos-temos-comida.ghtml,26,7,2018
